language,letter,percent
al,ë,10.1563
al,e,9.72451
al,t,7.87418
al,i,7.33964
al,a,6.55839
al,r,5.96217
al,n,5.03701
al,m,4.54359
al,u,3.90625
al,s,3.08388
al,o,2.81661
al,k,2.77549
al,j,2.48766
al,sh,2.32319
al,p,2.30263
al,d,2.07648
al,l,2.1176
al,v,0.842928
al,b,1.27467
al,f,1.19243
al,z,7.87418
al,h,0.986842
al,q,0.945724
al,g,0.925164
al,rr,0.842928
al,gj,0.822368
al,dh,0.822368
al,ll,0.760691
al,y,2.32319
al,nj,0.678454
al,th,0.411184
al,c,0.246711
al,ç,0.226151
al,x,3.08388
en,e,12.02
en,t,9.10
en,a,8.12
en,o,7.68
en,i,7.31
en,n,6.95
en,s,6.28
en,r,6.02
en,h,5.92
en,d,4.32
en,l,3.98
en,u,2.88
en,c,2.71
en,m,2.61
en,f,2.30
en,y,2.11
en,w,2.09
en,g,2.03
en,p,1.82
en,b,1.49
en,v,1.11
en,k,0.69
en,x,0.17
en,q,0.11
en,j,0.10
en,z,0.07
